index,year,image,name,inducted_members,prior_nominations,induction_presenter,artist,image_url,artist_url
201,2015,,The Paul Butterfield Blues Band,"Paul Butterfield, Mike Bloomfield, Elvin Bishop, Mark Naftalin, Jerome Arnold, Billy Davenport, and Sam Lay.[125]","3 (2006, 2013, 2014)",Peter Wolf,The Paul Butterfield Blues Band,"/wiki/File:Paul_Butterfield_Blues_Band,_circa_1967.jpg",/wiki/The_Paul_Butterfield_Blues_Band
202,2015,,Joan Jett & the Blackhearts,"Joan Jett, Kenny Laguna, Gary Ryan, Lee Crystal, and Ricky Byrd.[126]","2 (2012, 2013)",Miley Cyrus,Joan Jett & the Blackhearts,/wiki/File:Jett_Rocks.jpg,/wiki/Joan_Jett_%26_the_Blackhearts
203,2015,,Green Day,"Billie Joe Armstrong, Tré Cool, and Mike Dirnt.[127]",First nomination; First year of eligibility,Fall Out Boy,Green Day,"/wiki/File:Green_Day_-_Hella_Mega_Tour_-_August_10,_2021.jpg",/wiki/Green_Day
204,2015,,Lou Reed[128],,"2 (2000, 2001)",Patti Smith,Lou Reed,/wiki/File:Lou_Reed_1977.JPG,/wiki/Lou_Reed
205,2015,,Stevie Ray Vaughan and Double Trouble,"Stevie Ray Vaughan, Chris Layton, Tommy Shannon, and Reese Wynans.[129]",First nomination,John Mayer,Stevie Ray Vaughan and Double Trouble,/wiki/File:Stevie_Ray_Vaughan_and_Double_Trouble_(1983_publicity_photo_by_Don_Hunstein).jpg,/wiki/Stevie_Ray_Vaughan
206,2015,,Bill Withers[130],,First nomination,Stevie Wonder,Bill Withers,/wiki/File:Bill_Withers_1976.JPG,/wiki/Bill_Withers
207,2016,,Cheap Trick,"Bun E. Carlos, Rick Nielsen, Tom Petersson, and Robin Zander.[131]",First nomination,Kid Rock,Cheap Trick,/wiki/File:CheapTrick1977.jpg,/wiki/Cheap_Trick
208,2016,,Chicago,"Peter Cetera, Terry Kath, Robert Lamm, Lee Loughnane, James Pankow, Walter Parazaider, and Danny Seraphine.[132]",First nomination,Rob Thomas,Chicago,/wiki/File:Chicago_1975_press_photo.jpg,/wiki/Chicago_(band)
209,2016,,Deep Purple,"Ritchie Blackmore, David Coverdale, Rod Evans, Ian Gillan, Roger Glover, Glenn Hughes, Jon Lord, and Ian Paice.[133]","2 (2013, 2014)",Lars Ulrich,Deep Purple,/wiki/File:Deep_Purple_(1971).JPG,/wiki/Deep_Purple
210,2016,,N.W.A,"DJ Yella, Ice Cube, Dr. Dre, Eazy-E, and MC Ren.[134]","3 (2013, 2014, 2015)",Kendrick Lamar,N.W.A,"/wiki/File:NWA,_all_band_members.jpg",/wiki/N.W.A
211,2016,,Steve Miller[135],,First nomination,The Black Keys,Steve Miller,/wiki/File:Steve_Miller_in_1977.JPG,/wiki/Steve_Miller_(musician)
212,2017,,Joan Baez[136],,First nomination,Jackson Browne,Joan Baez,/wiki/File:Joan_Baez_1963_crop.jpg,/wiki/Joan_Baez
213,2017,,Electric Light Orchestra,"Bev Bevan, Jeff Lynne, Richard Tandy, and Roy Wood.[137]",First nomination,Dhani Harrison,Electric Light Orchestra,/wiki/File:ELO_-_Time_Tour_81-82.jpg,/wiki/Electric_Light_Orchestra
214,2017,,Journey,"Jonathan Cain, Aynsley Dunbar, Steve Perry, Gregg Rolie, Neal Schon, Steve Smith, and Ross Valory.[138]",First nomination,Pat Monahan,Journey,/wiki/File:Journeymm2002.jpg,/wiki/Journey_(band)
215,2017,,Pearl Jam,"Jeff Ament, Matt Cameron, Stone Gossard, Dave Krusen, Mike McCready, and Eddie Vedder.[139]",First nomination; First year of eligibility,David Letterman,Pearl Jam,/wiki/File:Pearl_Jam_New_York_2016_02.JPG,/wiki/Pearl_Jam
216,2017,,Tupac Shakur[140],,First nomination; First year of eligibility,Snoop Dogg,Tupac Shakur,/wiki/File:2pac_edit_cropped_further.jpg,/wiki/Tupac_Shakur
217,2017,,Yes,"Jon Anderson, Bill Bruford, Steve Howe, Tony Kaye, Trevor Rabin, Chris Squire, Rick Wakeman, and Alan White.[141]","2 (2014, 2016)",Geddy Lee and Alex Lifeson,Yes,/wiki/File:Yes_concert.jpg,/wiki/Yes_(band)
218,2018,,Bon Jovi,"Jon Bon Jovi, David Bryan, Hugh McDonald, Richie Sambora, Alec John Such, and Tico Torres.[142]",1 (2011),Howard Stern,Bon Jovi,/wiki/File:Bon_Jovi_1.jpg,/wiki/Bon_Jovi
219,2018,,The Cars,"Elliot Easton, Greg Hawkes, David Robinson, Ric Ocasek, and Benjamin Orr.[143]","2 (2016, 2017)",Brandon Flowers,The Cars,/wiki/File:The_Cars_1980_(Elektra_Press_Kit_Photo).jpg,/wiki/The_Cars
